Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,116.639999,116.769997,110.470001,112.940002,104.453011,7254600
2018-02-01,112.769997,113.199997,104.820000,108.300003,100.161690,5239200
2018-03-01,108.430000,112.300003,107.099998,111.809998,103.407921,3298200
2018-04-01,111.830002,115.430000,109.360001,114.570000,106.768410,3370800
2018-05-01,114.540001,115.360001,108.910004,114.209999,106.432915,2871000
2018-06-01,113.940002,117.099998,108.480003,115.959999,108.063759,3077900
2018-07-01,115.959999,119.000000,114.190002,117.900002,110.834610,2945300
2018-08-01,117.480003,122.050003,116.000000,119.260002,112.113106,3419800
2018-09-01,119.400002,122.410004,115.000000,117.870003,110.806404,2479300
2018-10-01,117.660004,123.360001,116.500000,119.250000,112.986351,4383000
2018-11-01,119.220001,124.199997,117.599998,123.919998,117.411049,4072600
2018-12-01,123.800003,127.070000,113.059998,117.830002,111.640923,7318100
2019-01-01,117.120003,122.610001,115.000000,122.209999,116.734993,3863300
2019-02-01,121.959999,127.309998,120.400002,126.949997,121.262627,5180700
2019-03-01,127.120003,131.369995,126.230003,129.600006,123.793930,4410200
2019-04-01,129.589996,130.789993,127.000000,130.720001,125.785988,3063700
2019-05-01,130.440002,133.929993,126.370003,129.580002,124.689026,3521200
2019-06-01,130.039993,136.500000,128.750000,132.929993,127.912567,5066600
2019-07-01,133.119995,136.300003,131.320007,132.649994,128.569290,2517600
2019-08-01,132.679993,139.520004,130.460007,139.059998,134.782120,4452100
2019-09-01,138.869995,145.000000,137.800003,143.649994,139.230896,3633900
2019-10-01,143.539993,143.940002,139.830002,142.410004,139.076920,5199200
2019-11-01,142.610001,142.860001,135.850006,139.589996,136.322906,3029600
2019-12-01,139.070007,143.669998,138.399994,142.889999,139.545670,3036400
2020-01-01,143.139999,152.720001,140.490005,151.600006,149.138519,3178900
2020-02-01,151.990005,156.429993,133.419998,136.460007,134.244354,5256900
2020-03-01,136.500000,150.559998,96.089996,121.930000,119.950264,13318600
2020-04-01,117.209999,135.490005,112.440002,125.870003,124.612305,5175800
2020-05-01,124.349998,131.789993,117.370003,131.289993,129.978134,4324400
2020-06-01,131.360001,138.479996,122.000000,123.489998,122.256081,4779300
