Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
10/2/15,BTCUSD,238.54,239.4,236.97,237.99,5947.95,1417784.26
10/1/15,BTCUSD,237.13,239.86,236.68,238.54,5670.97,1351078.32
9/30/15,BTCUSD,237.78,238.75,236.26,237.13,5549.05,1318349.82
9/29/15,BTCUSD,240.42,241.05,237,237.78,6880.33,1643213.39
9/28/15,BTCUSD,233.54,240.42,233.45,240.42,7962.86,1898213.94
9/27/15,BTCUSD,234.99,235.13,233.2,233.54,3286.85,768909.53
9/26/15,BTCUSD,235.76,236.2,233.5,234.99,4229.25,994247.53
9/25/15,BTCUSD,235.6,237.62,234.02,235.76,6468.71,1526369.32
9/24/15,BTCUSD,230.1,235.99,230.01,235.6,9095.34,2117575.92
9/23/15,BTCUSD,230.61,233,229.27,230.1,6307.83,1457819.49
9/22/15,BTCUSD,227,232.5,224.45,230.61,8827.76,2029170.21
9/21/15,BTCUSD,232.48,233.64,226.87,227,7630.98,1747253.74
